industry,level,level,line_code,value
Other wholesale trade,2,3,D0204,315
Retail trade,1,2,D0204,1095
Accommodation & food services,1,2,D0204,1563
"Transport, postal, & warehousing",1,2,D0204,261
Information media & telecommunications,1,2,D0204,24
Publishing,2,3,D0204,3
Motion picture,2,3,D0204,12
Telecommunications,2,3,D0204,6
Financial & insurance services,1,2,D0204,33
Finance,2,3,D0204,15
Insurance,2,3,D0204,0
Auxiliary,2,3,D0204,21
"Rental, hiring, & real estate services",1,2,D0204,267
"Professional, scientific, & technical services",1,2,D0204,333
Computer systems design,2,3,D0204,33
Other professional scientific,2,3,D0204,303
Administrative & support services,1,2,D0204,234
Education & training,1,2,D0204,231
Health care & social assistance,1,2,D0204,624
Arts & recreation services,1,2,D0204,120
Other services,1,2,D0204,312
total,0,1,D0204,9153
total,0,1,D0205,18540
total,0,1,D0205,5508
total,0,1,D0205,1782
total,0,1,D0205,1572
"Agriculture, forestry, & fishing",1,2,D0205,1383
Agriculture,2,3,D0205,831
Commercial fishing,2,3,D0205,21
Forestry & logging,2,3,D0205,141
"Agriculture, forestry, & fishing support services",2,3,D0205,390
Mining,1,2,D0205,78
Manufacturing,1,2,D0205,3819
"Food, beverage, & tobacco",2,3,D0205,786
"Textile, clothing, footwear, & leather",2,3,D0205,222
Wood & paper product,2,3,D0205,390
"Printing, publishing, & recorded media",2,3,D0205,159
"Petroleum, coal, chemical, & associated product",2,3,D0205,336
Non-metallic mineral product,2,3,D0205,141
Metal product,2,3,D0205,639
Transport and industrial machinery & equipment,2,3,D0205,675
Other machinery & equipment,2,3,D0205,183
Other manufacturing,2,3,D0205,288
"Electricity, gas, water, & waste services",1,2,D0205,108
Construction,1,2,D0205,3879
Wholesale trade,1,2,D0205,2679
Machinery & equipment wholesaling,2,3,D0205,831
Other wholesale trade,2,3,D0205,1848
Retail trade,1,2,D0205,3051
Accommodation & food services,1,2,D0205,3330
"Transport, postal, & warehousing",1,2,D0205,999
Information media & telecommunications,1,2,D0205,255
Publishing,2,3,D0205,72
Motion picture,2,3,D0205,102
Telecommunications,2,3,D0205,81
Financial & insurance services,1,2,D0205,321
Finance,2,3,D0205,117
Insurance,2,3,D0205,27
Auxiliary,2,3,D0205,177
"Rental, hiring, & real estate services",1,2,D0205,576
"Professional, scientific, & technical services",1,2,D0205,2976
Computer systems design,2,3,D0205,582
Other professional scientific,2,3,D0205,2397
Administrative & support services,1,2,D0205,945
Education & training,1,2,D0205,411
Health care & social assistance,1,2,D0205,1314
Arts & recreation services,1,2,D0205,267
Other services,1,2,D0205,1005
total,0,1,D0205,27402
total,0,1,D0206,8181
total,0,1,D0206,2409
total,0,1,D0206,693
total,0,1,D0206,591
"Agriculture, forestry, & fishing",1,2,D0206,1041
Agriculture,2,3,D0206,630
Commercial fishing,2,3,D0206,9
Forestry & logging,2,3,D0206,111
"Agriculture, forestry, & fishing support services",2,3,D0206,291
Mining,1,2,D0206,39
Manufacturing,1,2,D0206,1560
"Food, beverage, & tobacco",2,3,D0206,336
"Textile, clothing, footwear, & leather",2,3,D0206,60
Wood & paper product,2,3,D0206,144
"Printing, publishing, & recorded media",2,3,D0206,138
"Petroleum, coal, chemical, & associated product",2,3,D0206,132
Non-metallic mineral product,2,3,D0206,51
Metal product,2,3,D0206,276
Transport and industrial machinery & equipment,2,3,D0206,255
Other machinery & equipment,2,3,D0206,51
Other manufacturing,2,3,D0206,120
"Electricity, gas, water, & waste services",1,2,D0206,48
Construction,1,2,D0206,2466
Wholesale trade,1,2,D0206,975
Machinery & equipment wholesaling,2,3,D0206,294
Other wholesale trade,2,3,D0206,681
Retail trade,1,2,D0206,1146
Accommodation & food services,1,2,D0206,843
"Transport, postal, & warehousing",1,2,D0206,528
Information media & telecommunications,1,2,D0206,93
Publishing,2,3,D0206,30
Motion picture,2,3,D0206,33
Telecommunications,2,3,D0206,30
Financial & insurance services,1,2,D0206,108
Finance,2,3,D0206,45
Insurance,2,3,D0206,3
Auxiliary,2,3,D0206,63
"Rental, hiring, & real estate services",1,2,D0206,303
"Professional, scientific, & technical services",1,2,D0206,888
Computer systems design,2,3,D0206,138
Other professional scientific,2,3,D0206,753
Administrative & support services,1,2,D0206,423
Education & training,1,2,D0206,240
Health care & social assistance,1,2,D0206,612
Arts & recreation services,1,2,D0206,117
Other services,1,2,D0206,441
total,0,1,D0206,11877
total,0,1,D0207,13713
total,0,1,D0207,4290
total,0,1,D0207,1389
total,0,1,D0207,1200
"Agriculture, forestry, & fishing",1,2,D0207,864
Agriculture,2,3,D0207,519
Commercial fishing,2,3,D0207,24
Forestry & logging,2,3,D0207,90
"Agriculture, forestry, & fishing support services",2,3,D0207,231
Mining,1,2,D0207,54
Manufacturing,1,2,D0207,2784
"Food, beverage, & tobacco",2,3,D0207,552
"Textile, clothing, footwear, & leather",2,3,D0207,141
Wood & paper product,2,3,D0207,279
"Printing, publishing, & recorded media",2,3,D0207,141
"Petroleum, coal, chemical, & associated product",2,3,D0207,246
Non-metallic mineral product,2,3,D0207,102
Metal product,2,3,D0207,426
Transport and industrial machinery & equipment,2,3,D0207,540
Other machinery & equipment,2,3,D0207,150
Other manufacturing,2,3,D0207,207
"Electricity, gas, water, & waste services",1,2,D0207,75
Construction,1,2,D0207,3027
Wholesale trade,1,2,D0207,1914
Machinery & equipment wholesaling,2,3,D0207,579
Other wholesale trade,2,3,D0207,1335
Retail trade,1,2,D0207,1839
Accommodation & food services,1,2,D0207,2172
"Transport, postal, & warehousing",1,2,D0207,873
Information media & telecommunications,1,2,D0207,216
Publishing,2,3,D0207,72
Motion picture,2,3,D0207,72
Telecommunications,2,3,D0207,72
Financial & insurance services,1,2,D0207,294
Finance,2,3,D0207,78
Insurance,2,3,D0207,18
Auxiliary,2,3,D0207,198
"Rental, hiring, & real estate services",1,2,D0207,600
"Professional, scientific, & technical services",1,2,D0207,2565
Computer systems design,2,3,D0207,471
Other professional scientific,2,3,D0207,2097
Administrative & support services,1,2,D0207,909
Education & training,1,2,D0207,402
Health care & social assistance,1,2,D0207,1206
Arts & recreation services,1,2,D0207,216
Other services,1,2,D0207,576
total,0,1,D0207,20592
total,0,1,D0208,10158
total,0,1,D0208,3009
total,0,1,D0208,867
total,0,1,D0208,582
"Agriculture, forestry, & fishing",1,2,D0208,675
Agriculture,2,3,D0208,375
Commercial fishing,2,3,D0208,9
Forestry & logging,2,3,D0208,75
"Agriculture, forestry, & fishing support services",2,3,D0208,216
Mining,1,2,D0208,36
Manufacturing,1,2,D0208,2067
"Food, beverage, & tobacco",2,3,D0208,483
"Textile, clothing, footwear, & leather",2,3,D0208,138
Wood & paper product,2,3,D0208,198
"Printing, publishing, & recorded media",2,3,D0208,114
"Petroleum, coal, chemical, & associated product",2,3,D0208,168
Non-metallic mineral product,2,3,D0208,78
Metal product,2,3,D0208,327
Transport and industrial machinery & equipment,2,3,D0208,327
Other machinery & equipment,2,3,D0208,90
Other manufacturing,2,3,D0208,141
"Electricity, gas, water, & waste services",1,2,D0208,54
Construction,1,2,D0208,1788
Wholesale trade,1,2,D0208,1320
Machinery & equipment wholesaling,2,3,D0208,360
Other wholesale trade,2,3,D0208,960
Retail trade,1,2,D0208,1665
Accommodation & food services,1,2,D0208,1761
"Transport, postal, & warehousing",1,2,D0208,522
Information media & telecommunications,1,2,D0208,126
Publishing,2,3,D0208,42
Motion picture,2,3,D0208,45
Telecommunications,2,3,D0208,33
Financial & insurance services,1,2,D0208,195
Finance,2,3,D0208,60
Insurance,2,3,D0208,6
Auxiliary,2,3,D0208,129
"Rental, hiring, & real estate services",1,2,D0208,399
"Professional, scientific, & technical services",1,2,D0208,1863
Computer systems design,2,3,D0208,249
Other professional scientific,2,3,D0208,1614
Administrative & support services,1,2,D0208,543
Education & training,1,2,D0208,288
Health care & social assistance,1,2,D0208,744
Arts & recreation services,1,2,D0208,150
Other services,1,2,D0208,417
total,0,1,D0208,14613
total,0,1,D0209,17019
total,0,1,D0209,5301
total,0,1,D0209,1659
total,0,1,D0209,1470
"Agriculture, forestry, & fishing",1,2,D0209,1494
Agriculture,2,3,D0209,855
Commercial fishing,2,3,D0209,24
Forestry & logging,2,3,D0209,159
"Agriculture, forestry, & fishing support services",2,3,D0209,459
Mining,1,2,D0209,75
Manufacturing,1,2,D0209,3306
"Food, beverage, & tobacco",2,3,D0209,744
"Textile, clothing, footwear, & leather",2,3,D0209,153
Wood & paper product,2,3,D0209,312
"Printing, publishing, & recorded media",2,3,D0209,153
"Petroleum, coal, chemical, & associated product",2,3,D0209,354
Non-metallic mineral product,2,3,D0209,135
Metal product,2,3,D0209,504
Transport and industrial machinery & equipment,2,3,D0209,606
Other machinery & equipment,2,3,D0209,144
Other manufacturing,2,3,D0209,201
"Electricity, gas, water, & waste services",1,2,D0209,105
Construction,1,2,D0209,2973
Wholesale trade,1,2,D0209,2028
Machinery & equipment wholesaling,2,3,D0209,690
Other wholesale trade,2,3,D0209,1338
Retail trade,1,2,D0209,2931
Accommodation & food services,1,2,D0209,3201
"Transport, postal, & warehousing",1,2,D0209,1071
Information media & telecommunications,1,2,D0209,252
Publishing,2,3,D0209,81
Motion picture,2,3,D0209,99
Telecommunications,2,3,D0209,69
Financial & insurance services,1,2,D0209,333
Finance,2,3,D0209,108
Insurance,2,3,D0209,27
Auxiliary,2,3,D0209,204
"Rental, hiring, & real estate services",1,2,D0209,636
"Professional, scientific, & technical services",1,2,D0209,2871
Computer systems design,2,3,D0209,531
Other professional scientific,2,3,D0209,2343
Administrative & support services,1,2,D0209,1014
Education & training,1,2,D0209,609
Health care & social assistance,1,2,D0209,1629
Arts & recreation services,1,2,D0209,267
Other services,1,2,D0209,645
total,0,1,D0209,25449
total,0,1,D0301.01,9294
total,0,1,D0301.01,3009
total,0,1,D0301.01,978
total,0,1,D0301.01,696
"Agriculture, forestry, & fishing",1,2,D0301.01,1977
Agriculture,2,3,D0301.01,1386
Commercial fishing,2,3,D0301.01,18
Forestry & logging,2,3,D0301.01,162
"Agriculture, forestry, & fishing support services",2,3,D0301.01,411
Mining,1,2,D0301.01,48
Manufacturing,1,2,D0301.01,2058
"Food, beverage, & tobacco",2,3,D0301.01,444
"Textile, clothing, footwear, & leather",2,3,D0301.01,120
Wood & paper product,2,3,D0301.01,240
"Printing, publishing, & recorded media",2,3,D0301.01,99
"Petroleum, coal, chemical, & associated product",2,3,D0301.01,141
Non-metallic mineral product,2,3,D0301.01,69
Metal product,2,3,D0301.01,351
Transport and industrial machinery & equipment,2,3,D0301.01,390
Other machinery & equipment,2,3,D0301.01,66
Other manufacturing,2,3,D0301.01,135
"Electricity, gas, water, & waste services",1,2,D0301.01,66
Construction,1,2,D0301.01,1890
Wholesale trade,1,2,D0301.01,1056
Machinery & equipment wholesaling,2,3,D0301.01,114
Other wholesale trade,2,3,D0301.01,939
Retail trade,1,2,D0301.01,1110
Accommodation & food services,1,2,D0301.01,1719
"Transport, postal, & warehousing",1,2,D0301.01,783
Information media & telecommunications,1,2,D0301.01,75
Publishing,2,3,D0301.01,15
Motion picture,2,3,D0301.01,33
Telecommunications,2,3,D0301.01,24
Financial & insurance services,1,2,D0301.01,114
Finance,2,3,D0301.01,60
Insurance,2,3,D0301.01,0
Auxiliary,2,3,D0301.01,54
"Rental, hiring, & real estate services",1,2,D0301.01,441
"Professional, scientific, & technical services",1,2,D0301.01,846
Computer systems design,2,3,D0301.01,84
Other professional scientific,2,3,D0301.01,762
Administrative & support services,1,2,D0301.01,357
Education & training,1,2,D0301.01,213
Health care & social assistance,1,2,D0301.01,660
Arts & recreation services,1,2,D0301.01,159
Other services,1,2,D0301.01,402
total,0,1,D0301.01,13977
total,0,1,D0301.02,22950
total,0,1,D0301.02,4845
total,0,1,D0301.02,1311
total,0,1,D0301.02,1167
"Agriculture, forestry, & fishing",1,2,D0301.02,1761
Agriculture,2,3,D0301.02,1107
Commercial fishing,2,3,D0301.02,36
Forestry & logging,2,3,D0301.02,99
"Agriculture, forestry, & fishing support services",2,3,D0301.02,522
