industry,level,level,line_code,value
Publishing,2,3,D0500.01,15
Motion picture,2,3,D0500.01,3
Telecommunications,2,3,D0500.01,18
Financial & insurance services,1,2,D0500.01,57
Finance,2,3,D0500.01,21
Insurance,2,3,D0500.01,3
Auxiliary,2,3,D0500.01,36
"Rental, hiring, & real estate services",1,2,D0500.01,132
"Professional, scientific, & technical services",1,2,D0500.01,303
Computer systems design,2,3,D0500.01,90
Other professional scientific,2,3,D0500.01,216
Administrative & support services,1,2,D0500.01,132
Education & training,1,2,D0500.01,39
Health care & social assistance,1,2,D0500.01,258
Arts & recreation services,1,2,D0500.01,45
Other services,1,2,D0500.01,102
total,0,1,D0500.01,4125
total,0,1,D0500.02,29130
total,0,1,D0500.02,7128
total,0,1,D0500.02,2061
total,0,1,D0500.02,1692
"Agriculture, forestry, & fishing",1,2,D0500.02,3306
Agriculture,2,3,D0500.02,2211
Commercial fishing,2,3,D0500.02,48
Forestry & logging,2,3,D0500.02,216
"Agriculture, forestry, & fishing support services",2,3,D0500.02,837
Mining,1,2,D0500.02,96
Manufacturing,1,2,D0500.02,4728
"Food, beverage, & tobacco",2,3,D0500.02,936
"Textile, clothing, footwear, & leather",2,3,D0500.02,255
Wood & paper product,2,3,D0500.02,480
"Printing, publishing, & recorded media",2,3,D0500.02,222
"Petroleum, coal, chemical, & associated product",2,3,D0500.02,399
Non-metallic mineral product,2,3,D0500.02,162
Metal product,2,3,D0500.02,936
Transport and industrial machinery & equipment,2,3,D0500.02,792
Other machinery & equipment,2,3,D0500.02,195
Other manufacturing,2,3,D0500.02,351
"Electricity, gas, water, & waste services",1,2,D0500.02,129
Construction,1,2,D0500.02,5136
Wholesale trade,1,2,D0500.02,2883
Machinery & equipment wholesaling,2,3,D0500.02,897
Other wholesale trade,2,3,D0500.02,1983
Retail trade,1,2,D0500.02,4524
Accommodation & food services,1,2,D0500.02,5298
"Transport, postal, & warehousing",1,2,D0500.02,1428
Information media & telecommunications,1,2,D0500.02,351
Publishing,2,3,D0500.02,114
Motion picture,2,3,D0500.02,129
Telecommunications,2,3,D0500.02,105
Financial & insurance services,1,2,D0500.02,516
Finance,2,3,D0500.02,165
Insurance,2,3,D0500.02,33
Auxiliary,2,3,D0500.02,321
"Rental, hiring, & real estate services",1,2,D0500.02,867
"Professional, scientific, & technical services",1,2,D0500.02,4224
Computer systems design,2,3,D0500.02,732
Other professional scientific,2,3,D0500.02,3492
Administrative & support services,1,2,D0500.02,1620
Education & training,1,2,D0500.02,930
Health care & social assistance,1,2,D0500.02,2370
Arts & recreation services,1,2,D0500.02,417
Other services,1,2,D0500.02,1179
total,0,1,D0500.02,40011
total,0,1,D0601,576
total,0,1,D0601,90
total,0,1,D0601,24
total,0,1,D0601,6
"Agriculture, forestry, & fishing",1,2,D0601,24
Agriculture,2,3,D0601,9
Commercial fishing,2,3,D0601,0
Forestry & logging,2,3,D0601,0
"Agriculture, forestry, & fishing support services",2,3,D0601,15
Mining,1,2,D0601,3
Manufacturing,1,2,D0601,78
"Food, beverage, & tobacco",2,3,D0601,9
"Textile, clothing, footwear, & leather",2,3,D0601,0
Wood & paper product,2,3,D0601,12
"Printing, publishing, & recorded media",2,3,D0601,12
"Petroleum, coal, chemical, & associated product",2,3,D0601,0
Non-metallic mineral product,2,3,D0601,3
Metal product,2,3,D0601,24
Transport and industrial machinery & equipment,2,3,D0601,0
Other machinery & equipment,2,3,D0601,9
Other manufacturing,2,3,D0601,12
"Electricity, gas, water, & waste services",1,2,D0601,6
Construction,1,2,D0601,48
Wholesale trade,1,2,D0601,27
Machinery & equipment wholesaling,2,3,D0601,6
Other wholesale trade,2,3,D0601,21
Retail trade,1,2,D0601,114
Accommodation & food services,1,2,D0601,234
"Transport, postal, & warehousing",1,2,D0601,42
Information media & telecommunications,1,2,D0601,9
Publishing,2,3,D0601,3
Motion picture,2,3,D0601,0
Telecommunications,2,3,D0601,3
Financial & insurance services,1,2,D0601,0
Finance,2,3,D0601,0
Insurance,2,3,D0601,3
Auxiliary,2,3,D0601,0
"Rental, hiring, & real estate services",1,2,D0601,12
"Professional, scientific, & technical services",1,2,D0601,15
Computer systems design,2,3,D0601,15
Other professional scientific,2,3,D0601,0
Administrative & support services,1,2,D0601,21
Education & training,1,2,D0601,9
Health care & social assistance,1,2,D0601,12
Arts & recreation services,1,2,D0601,6
Other services,1,2,D0601,27
total,0,1,D0601,699
total,0,1,D0602,3213
total,0,1,D0602,993
total,0,1,D0602,231
total,0,1,D0602,120
"Agriculture, forestry, & fishing",1,2,D0602,342
Agriculture,2,3,D0602,222
Commercial fishing,2,3,D0602,3
Forestry & logging,2,3,D0602,24
"Agriculture, forestry, & fishing support services",2,3,D0602,96
Mining,1,2,D0602,9
Manufacturing,1,2,D0602,597
"Food, beverage, & tobacco",2,3,D0602,165
"Textile, clothing, footwear, & leather",2,3,D0602,39
Wood & paper product,2,3,D0602,39
"Printing, publishing, & recorded media",2,3,D0602,21
"Petroleum, coal, chemical, & associated product",2,3,D0602,51
Non-metallic mineral product,2,3,D0602,24
Metal product,2,3,D0602,129
Transport and industrial machinery & equipment,2,3,D0602,81
Other machinery & equipment,2,3,D0602,9
Other manufacturing,2,3,D0602,39
"Electricity, gas, water, & waste services",1,2,D0602,18
Construction,1,2,D0602,747
Wholesale trade,1,2,D0602,378
Machinery & equipment wholesaling,2,3,D0602,72
Other wholesale trade,2,3,D0602,303
Retail trade,1,2,D0602,390
Accommodation & food services,1,2,D0602,639
"Transport, postal, & warehousing",1,2,D0602,144
Information media & telecommunications,1,2,D0602,51
Publishing,2,3,D0602,18
Motion picture,2,3,D0602,21
Telecommunications,2,3,D0602,9
Financial & insurance services,1,2,D0602,30
Finance,2,3,D0602,6
Insurance,2,3,D0602,0
Auxiliary,2,3,D0602,24
"Rental, hiring, & real estate services",1,2,D0602,99
"Professional, scientific, & technical services",1,2,D0602,441
Computer systems design,2,3,D0602,96
Other professional scientific,2,3,D0602,351
Administrative & support services,1,2,D0602,135
Education & training,1,2,D0602,111
Health care & social assistance,1,2,D0602,207
Arts & recreation services,1,2,D0602,39
Other services,1,2,D0602,174
total,0,1,D0602,4557
total,0,1,D0603,2244
total,0,1,D0603,768
total,0,1,D0603,249
total,0,1,D0603,219
"Agriculture, forestry, & fishing",1,2,D0603,663
Agriculture,2,3,D0603,510
Commercial fishing,2,3,D0603,3
Forestry & logging,2,3,D0603,33
"Agriculture, forestry, & fishing support services",2,3,D0603,117
Mining,1,2,D0603,12
Manufacturing,1,2,D0603,477
"Food, beverage, & tobacco",2,3,D0603,87
"Textile, clothing, footwear, & leather",2,3,D0603,27
Wood & paper product,2,3,D0603,45
"Printing, publishing, & recorded media",2,3,D0603,27
"Petroleum, coal, chemical, & associated product",2,3,D0603,45
Non-metallic mineral product,2,3,D0603,21
Metal product,2,3,D0603,114
Transport and industrial machinery & equipment,2,3,D0603,63
Other machinery & equipment,2,3,D0603,9
Other manufacturing,2,3,D0603,36
"Electricity, gas, water, & waste services",1,2,D0603,15
Construction,1,2,D0603,366
Wholesale trade,1,2,D0603,264
Machinery & equipment wholesaling,2,3,D0603,45
Other wholesale trade,2,3,D0603,216
Retail trade,1,2,D0603,342
Accommodation & food services,1,2,D0603,234
"Transport, postal, & warehousing",1,2,D0603,144
Information media & telecommunications,1,2,D0603,36
Publishing,2,3,D0603,6
Motion picture,2,3,D0603,12
Telecommunications,2,3,D0603,12
Financial & insurance services,1,2,D0603,33
Finance,2,3,D0603,21
Insurance,2,3,D0603,0
Auxiliary,2,3,D0603,15
"Rental, hiring, & real estate services",1,2,D0603,129
"Professional, scientific, & technical services",1,2,D0603,381
Computer systems design,2,3,D0603,75
Other professional scientific,2,3,D0603,309
Administrative & support services,1,2,D0603,153
Education & training,1,2,D0603,75
Health care & social assistance,1,2,D0603,66
Arts & recreation services,1,2,D0603,18
Other services,1,2,D0603,72
total,0,1,D0603,3480
total,0,1,D0604,846
total,0,1,D0604,255
total,0,1,D0604,51
total,0,1,D0604,21
"Agriculture, forestry, & fishing",1,2,D0604,237
Agriculture,2,3,D0604,204
Commercial fishing,2,3,D0604,0
Forestry & logging,2,3,D0604,3
"Agriculture, forestry, & fishing support services",2,3,D0604,30
Mining,1,2,D0604,6
Manufacturing,1,2,D0604,207
"Food, beverage, & tobacco",2,3,D0604,66
"Textile, clothing, footwear, & leather",2,3,D0604,3
Wood & paper product,2,3,D0604,42
"Printing, publishing, & recorded media",2,3,D0604,9
"Petroleum, coal, chemical, & associated product",2,3,D0604,0
Non-metallic mineral product,2,3,D0604,9
Metal product,2,3,D0604,42
Transport and industrial machinery & equipment,2,3,D0604,3
Other machinery & equipment,2,3,D0604,12
Other manufacturing,2,3,D0604,21
"Electricity, gas, water, & waste services",1,2,D0604,6
Construction,1,2,D0604,111
Wholesale trade,1,2,D0604,48
Machinery & equipment wholesaling,2,3,D0604,0
Other wholesale trade,2,3,D0604,45
Retail trade,1,2,D0604,42
Accommodation & food services,1,2,D0604,126
"Transport, postal, & warehousing",1,2,D0604,54
Information media & telecommunications,1,2,D0604,12
Publishing,2,3,D0604,3
Motion picture,2,3,D0604,0
Telecommunications,2,3,D0604,6
Financial & insurance services,1,2,D0604,9
Finance,2,3,D0604,0
Insurance,2,3,D0604,3
Auxiliary,2,3,D0604,9
"Rental, hiring, & real estate services",1,2,D0604,45
"Professional, scientific, & technical services",1,2,D0604,87
Computer systems design,2,3,D0604,9
Other professional scientific,2,3,D0604,81
Administrative & support services,1,2,D0604,66
Education & training,1,2,D0604,39
Health care & social assistance,1,2,D0604,42
Arts & recreation services,1,2,D0604,12
Other services,1,2,D0604,15
total,0,1,D0604,1176
total,0,1,D0605,1134
total,0,1,D0605,126
total,0,1,D0605,33
total,0,1,D0605,6
"Agriculture, forestry, & fishing",1,2,D0605,12
Agriculture,2,3,D0605,0
Commercial fishing,2,3,D0605,0
Forestry & logging,2,3,D0605,3
"Agriculture, forestry, & fishing support services",2,3,D0605,12
Mining,1,2,D0605,3
Manufacturing,1,2,D0605,147
"Food, beverage, & tobacco",2,3,D0605,48
"Textile, clothing, footwear, & leather",2,3,D0605,3
Wood & paper product,2,3,D0605,3
"Printing, publishing, & recorded media",2,3,D0605,15
"Petroleum, coal, chemical, & associated product",2,3,D0605,12
Non-metallic mineral product,2,3,D0605,3
Metal product,2,3,D0605,54
Transport and industrial machinery & equipment,2,3,D0605,0
Other machinery & equipment,2,3,D0605,6
Other manufacturing,2,3,D0605,6
"Electricity, gas, water, & waste services",1,2,D0605,9
Construction,1,2,D0605,183
Wholesale trade,1,2,D0605,93
Machinery & equipment wholesaling,2,3,D0605,33
Other wholesale trade,2,3,D0605,60
Retail trade,1,2,D0605,225
Accommodation & food services,1,2,D0605,207
"Transport, postal, & warehousing",1,2,D0605,48
Information media & telecommunications,1,2,D0605,9
Publishing,2,3,D0605,3
Motion picture,2,3,D0605,0
Telecommunications,2,3,D0605,6
Financial & insurance services,1,2,D0605,9
Finance,2,3,D0605,3
Insurance,2,3,D0605,0
Auxiliary,2,3,D0605,9
"Rental, hiring, & real estate services",1,2,D0605,12
"Professional, scientific, & technical services",1,2,D0605,39
Computer systems design,2,3,D0605,15
Other professional scientific,2,3,D0605,27
Administrative & support services,1,2,D0605,60
Education & training,1,2,D0605,45
Health care & social assistance,1,2,D0605,141
Arts & recreation services,1,2,D0605,24
Other services,1,2,D0605,27
total,0,1,D0605,1302
total,0,1,D0606,384
total,0,1,D0606,78
total,0,1,D0606,18
total,0,1,D0606,12
"Agriculture, forestry, & fishing",1,2,D0606,33
Agriculture,2,3,D0606,27
Commercial fishing,2,3,D0606,0
Forestry & logging,2,3,D0606,0
"Agriculture, forestry, & fishing support services",2,3,D0606,6
Mining,1,2,D0606,3
Manufacturing,1,2,D0606,45
"Food, beverage, & tobacco",2,3,D0606,18
"Textile, clothing, footwear, & leather",2,3,D0606,3
Wood & paper product,2,3,D0606,12
"Printing, publishing, & recorded media",2,3,D0606,0
"Petroleum, coal, chemical, & associated product",2,3,D0606,0
Non-metallic mineral product,2,3,D0606,9
Metal product,2,3,D0606,0
Transport and industrial machinery & equipment,2,3,D0606,0
Other machinery & equipment,2,3,D0606,0
Other manufacturing,2,3,D0606,6
"Electricity, gas, water, & waste services",1,2,D0606,3
Construction,1,2,D0606,66
Wholesale trade,1,2,D0606,60
Machinery & equipment wholesaling,2,3,D0606,15
Other wholesale trade,2,3,D0606,42
Retail trade,1,2,D0606,15
Accommodation & food services,1,2,D0606,66
"Transport, postal, & warehousing",1,2,D0606,27
Information media & telecommunications,1,2,D0606,12
Publishing,2,3,D0606,0
Motion picture,2,3,D0606,3
Telecommunications,2,3,D0606,6
Financial & insurance services,1,2,D0606,6
Finance,2,3,D0606,3
Insurance,2,3,D0606,0
Auxiliary,2,3,D0606,6
"Rental, hiring, & real estate services",1,2,D0606,12
"Professional, scientific, & technical services",1,2,D0606,18
Computer systems design,2,3,D0606,18
Other professional scientific,2,3,D0606,3
Administrative & support services,1,2,D0606,24
Education & training,1,2,D0606,9
Health care & social assistance,1,2,D0606,45
Arts & recreation services,1,2,D0606,6
Other services,1,2,D0606,39
total,0,1,D0606,492
total,0,1,D0607,531
total,0,1,D0607,63
total,0,1,D0607,24
total,0,1,D0607,15
"Agriculture, forestry, & fishing",1,2,D0607,45
Agriculture,2,3,D0607,45
Commercial fishing,2,3,D0607,0
Forestry & logging,2,3,D0607,0
"Agriculture, forestry, & fishing support services",2,3,D0607,0
Mining,1,2,D0607,3
Manufacturing,1,2,D0607,51
"Food, beverage, & tobacco",2,3,D0607,3
"Textile, clothing, footwear, & leather",2,3,D0607,0
Wood & paper product,2,3,D0607,12
"Printing, publishing, & recorded media",2,3,D0607,0
"Petroleum, coal, chemical, & associated product",2,3,D0607,3
Non-metallic mineral product,2,3,D0607,3
Metal product,2,3,D0607,12
Transport and industrial machinery & equipment,2,3,D0607,9
Other machinery & equipment,2,3,D0607,3
Other manufacturing,2,3,D0607,9
"Electricity, gas, water, & waste services",1,2,D0607,0
Construction,1,2,D0607,108
Wholesale trade,1,2,D0607,72
Machinery & equipment wholesaling,2,3,D0607,27
Other wholesale trade,2,3,D0607,42
Retail trade,1,2,D0607,63
Accommodation & food services,1,2,D0607,66
"Transport, postal, & warehousing",1,2,D0607,45
Information media & telecommunications,1,2,D0607,9
Publishing,2,3,D0607,0
Motion picture,2,3,D0607,0
Telecommunications,2,3,D0607,6
Financial & insurance services,1,2,D0607,3
Finance,2,3,D0607,0
Insurance,2,3,D0607,0
Auxiliary,2,3,D0607,6
"Rental, hiring, & real estate services",1,2,D0607,12
"Professional, scientific, & technical services",1,2,D0607,39
Computer systems design,2,3,D0607,15
Other professional scientific,2,3,D0607,27
Administrative & support services,1,2,D0607,27
Education & training,1,2,D0607,15
Health care & social assistance,1,2,D0607,45
Arts & recreation services,1,2,D0607,6
Other services,1,2,D0607,12
total,0,1,D0607,633
total,0,1,D0608,684
total,0,1,D0608,168
total,0,1,D0608,45
total,0,1,D0608,18
"Agriculture, forestry, & fishing",1,2,D0608,132
Agriculture,2,3,D0608,123
Commercial fishing,2,3,D0608,0
Forestry & logging,2,3,D0608,0
"Agriculture, forestry, & fishing support services",2,3,D0608,12
Mining,1,2,D0608,3
Manufacturing,1,2,D0608,105
"Food, beverage, & tobacco",2,3,D0608,45
"Textile, clothing, footwear, & leather",2,3,D0608,15
Wood & paper product,2,3,D0608,9
"Printing, publishing, & recorded media",2,3,D0608,9
"Petroleum, coal, chemical, & associated product",2,3,D0608,0
Non-metallic mineral product,2,3,D0608,3
Metal product,2,3,D0608,6
Transport and industrial machinery & equipment,2,3,D0608,6
Other machinery & equipment,2,3,D0608,3
Other manufacturing,2,3,D0608,6
"Electricity, gas, water, & waste services",1,2,D0608,3
Construction,1,2,D0608,51
Wholesale trade,1,2,D0608,114
Machinery & equipment wholesaling,2,3,D0608,12
Other wholesale trade,2,3,D0608,99
Retail trade,1,2,D0608,93
Accommodation & food services,1,2,D0608,3
"Transport, postal, & warehousing",1,2,D0608,84
Information media & telecommunications,1,2,D0608,12
Publishing,2,3,D0608,0
Motion picture,2,3,D0608,3
Telecommunications,2,3,D0608,6
Financial & insurance services,1,2,D0608,3
Finance,2,3,D0608,3
Insurance,2,3,D0608,3
Auxiliary,2,3,D0608,0
"Rental, hiring, & real estate services",1,2,D0608,45
"Professional, scientific, & technical services",1,2,D0608,126
Computer systems design,2,3,D0608,42
Other professional scientific,2,3,D0608,87
Administrative & support services,1,2,D0608,57
Education & training,1,2,D0608,24
Health care & social assistance,1,2,D0608,33
Arts & recreation services,1,2,D0608,6
Other services,1,2,D0608,15
total,0,1,D0608,918
total,0,1,D0609,20649
total,0,1,D0609,5214
total,0,1,D0609,1527
total,0,1,D0609,1323
"Agriculture, forestry, & fishing",1,2,D0609,2403
Agriculture,2,3,D0609,1602
Commercial fishing,2,3,D0609,36
Forestry & logging,2,3,D0609,138
"Agriculture, forestry, & fishing support services",2,3,D0609,630
Mining,1,2,D0609,72
Manufacturing,1,2,D0609,3471
"Food, beverage, & tobacco",2,3,D0609,636
"Textile, clothing, footwear, & leather",2,3,D0609,195
Wood & paper product,2,3,D0609,324
"Printing, publishing, & recorded media",2,3,D0609,162
"Petroleum, coal, chemical, & associated product",2,3,D0609,315
Non-metallic mineral product,2,3,D0609,117
Metal product,2,3,D0609,681
Transport and industrial machinery & equipment,2,3,D0609,618
Other machinery & equipment,2,3,D0609,162
Other manufacturing,2,3,D0609,258
"Electricity, gas, water, & waste services",1,2,D0609,87
Construction,1,2,D0609,3525
Wholesale trade,1,2,D0609,2163
Machinery & equipment wholesaling,2,3,D0609,711
Other wholesale trade,2,3,D0609,1449
Retail trade,1,2,D0609,3351
Accommodation & food services,1,2,D0609,2916
"Transport, postal, & warehousing",1,2,D0609,1020
Information media & telecommunications,1,2,D0609,243
Publishing,2,3,D0609,75
Motion picture,2,3,D0609,93
Telecommunications,2,3,D0609,72
Financial & insurance services,1,2,D0609,417
Finance,2,3,D0609,126
Insurance,2,3,D0609,30
Auxiliary,2,3,D0609,264
"Rental, hiring, & real estate services",1,2,D0609,630
"Professional, scientific, & technical services",1,2,D0609,3552
Computer systems design,2,3,D0609,591
Other professional scientific,2,3,D0609,2964
Administrative & support services,1,2,D0609,1230
Education & training,1,2,D0609,675
Health care & social assistance,1,2,D0609,1740
Arts & recreation services,1,2,D0609,330
Other services,1,2,D0609,882
total,0,1,D0609,28716
total,0,1,D0610,4284
total,0,1,D0610,909
total,0,1,D0610,288
total,0,1,D0610,225
"Agriculture, forestry, & fishing",1,2,D0610,336
Agriculture,2,3,D0610,216
Commercial fishing,2,3,D0610,12
Forestry & logging,2,3,D0610,33
"Agriculture, forestry, & fishing support services",2,3,D0610,72
Mining,1,2,D0610,18
Manufacturing,1,2,D0610,594
"Food, beverage, & tobacco",2,3,D0610,96
"Textile, clothing, footwear, & leather",2,3,D0610,33
Wood & paper product,2,3,D0610,87
"Printing, publishing, & recorded media",2,3,D0610,24
"Petroleum, coal, chemical, & associated product",2,3,D0610,48
Non-metallic mineral product,2,3,D0610,24
Metal product,2,3,D0610,111
Transport and industrial machinery & equipment,2,3,D0610,111
Other machinery & equipment,2,3,D0610,21
Other manufacturing,2,3,D0610,39
"Electricity, gas, water, & waste services",1,2,D0610,15
Construction,1,2,D0610,885
Wholesale trade,1,2,D0610,393
Machinery & equipment wholesaling,2,3,D0610,84
Other wholesale trade,2,3,D0610,306
Retail trade,1,2,D0610,492
Accommodation & food services,1,2,D0610,1347
"Transport, postal, & warehousing",1,2,D0610,192
Information media & telecommunications,1,2,D0610,39
Publishing,2,3,D0610,12
Motion picture,2,3,D0610,15
Telecommunications,2,3,D0610,9
Financial & insurance services,1,2,D0610,63
Finance,2,3,D0610,27
Insurance,2,3,D0610,3
Auxiliary,2,3,D0610,36
"Rental, hiring, & real estate services",1,2,D0610,90
"Professional, scientific, & technical services",1,2,D0610,291
Computer systems design,2,3,D0610,81
Other professional scientific,2,3,D0610,216
Administrative & support services,1,2,D0610,213
Education & training,1,2,D0610,117
Health care & social assistance,1,2,D0610,384
Arts & recreation services,1,2,D0610,54
Other services,1,2,D0610,177
total,0,1,D0610,5706
total,0,1,D0700.01,657
total,0,1,D0700.01,156
total,0,1,D0700.01,54
total,0,1,D0700.01,27
"Agriculture, forestry, & fishing",1,2,D0700.01,159
Agriculture,2,3,D0700.01,141
Commercial fishing,2,3,D0700.01,0
Forestry & logging,2,3,D0700.01,9
"Agriculture, forestry, & fishing support services",2,3,D0700.01,9
Mining,1,2,D0700.01,3
Manufacturing,1,2,D0700.01,105
"Food, beverage, & tobacco",2,3,D0700.01,45
"Textile, clothing, footwear, & leather",2,3,D0700.01,9
Wood & paper product,2,3,D0700.01,0
"Printing, publishing, & recorded media",2,3,D0700.01,0
"Petroleum, coal, chemical, & associated product",2,3,D0700.01,3
Non-metallic mineral product,2,3,D0700.01,6
Metal product,2,3,D0700.01,15
Transport and industrial machinery & equipment,2,3,D0700.01,24
Other machinery & equipment,2,3,D0700.01,0
Other manufacturing,2,3,D0700.01,6
"Electricity, gas, water, & waste services",1,2,D0700.01,6
Construction,1,2,D0700.01,66
Wholesale trade,1,2,D0700.01,51
Machinery & equipment wholesaling,2,3,D0700.01,15
Other wholesale trade,2,3,D0700.01,36
Retail trade,1,2,D0700.01,78
Accommodation & food services,1,2,D0700.01,120
"Transport, postal, & warehousing",1,2,D0700.01,57
Information media & telecommunications,1,2,D0700.01,3
Publishing,2,3,D0700.01,0
Motion picture,2,3,D0700.01,0
Telecommunications,2,3,D0700.01,3
Financial & insurance services,1,2,D0700.01,0
Finance,2,3,D0700.01,0
Insurance,2,3,D0700.01,0
Auxiliary,2,3,D0700.01,0
"Rental, hiring, & real estate services",1,2,D0700.01,39
"Professional, scientific, & technical services",1,2,D0700.01,99
Computer systems design,2,3,D0700.01,12
Other professional scientific,2,3,D0700.01,90
Administrative & support services,1,2,D0700.01,27
Education & training,1,2,D0700.01,9
Health care & social assistance,1,2,D0700.01,30
Arts & recreation services,1,2,D0700.01,6
Other services,1,2,D0700.01,24
total,0,1,D0700.01,894
total,0,1,D0700.02,483
total,0,1,D0700.02,207
total,0,1,D0700.02,78
total,0,1,D0700.02,42
"Agriculture, forestry, & fishing",1,2,D0700.02,69
Agriculture,2,3,D0700.02,24
Commercial fishing,2,3,D0700.02,3
Forestry & logging,2,3,D0700.02,12
"Agriculture, forestry, & fishing support services",2,3,D0700.02,27
Mining,1,2,D0700.02,3
Manufacturing,1,2,D0700.02,108
"Food, beverage, & tobacco",2,3,D0700.02,21
"Textile, clothing, footwear, & leather",2,3,D0700.02,6
Wood & paper product,2,3,D0700.02,6
"Printing, publishing, & recorded media",2,3,D0700.02,3
"Petroleum, coal, chemical, & associated product",2,3,D0700.02,15
Non-metallic mineral product,2,3,D0700.02,12
Metal product,2,3,D0700.02,15
Transport and industrial machinery & equipment,2,3,D0700.02,21
Other machinery & equipment,2,3,D0700.02,9
Other manufacturing,2,3,D0700.02,3
"Electricity, gas, water, & waste services",1,2,D0700.02,3
Construction,1,2,D0700.02,69
Wholesale trade,1,2,D0700.02,57
Machinery & equipment wholesaling,2,3,D0700.02,15
Other wholesale trade,2,3,D0700.02,42
Retail trade,1,2,D0700.02,111
Accommodation & food services,1,2,D0700.02,39
"Transport, postal, & warehousing",1,2,D0700.02,51
Information media & telecommunications,1,2,D0700.02,9
Publishing,2,3,D0700.02,0
Motion picture,2,3,D0700.02,0
Telecommunications,2,3,D0700.02,6
Financial & insurance services,1,2,D0700.02,12
Finance,2,3,D0700.02,3
Insurance,2,3,D0700.02,0
Auxiliary,2,3,D0700.02,9
"Rental, hiring, & real estate services",1,2,D0700.02,27
"Professional, scientific, & technical services",1,2,D0700.02,63
Computer systems design,2,3,D0700.02,6
Other professional scientific,2,3,D0700.02,60
Administrative & support services,1,2,D0700.02,54
Education & training,1,2,D0700.02,6
Health care & social assistance,1,2,D0700.02,81
Arts & recreation services,1,2,D0700.02,21
Other services,1,2,D0700.02,30
total,0,1,D0700.02,810
total,0,1,D0700.03,1443
total,0,1,D0700.03,273
total,0,1,D0700.03,78
total,0,1,D0700.03,72
"Agriculture, forestry, & fishing",1,2,D0700.03,138
Agriculture,2,3,D0700.03,78
Commercial fishing,2,3,D0700.03,3
Forestry & logging,2,3,D0700.03,30
"Agriculture, forestry, & fishing support services",2,3,D0700.03,27
Mining,1,2,D0700.03,6
Manufacturing,1,2,D0700.03,195
"Food, beverage, & tobacco",2,3,D0700.03,51
"Textile, clothing, footwear, & leather",2,3,D0700.03,0
Wood & paper product,2,3,D0700.03,15
"Printing, publishing, & recorded media",2,3,D0700.03,9
"Petroleum, coal, chemical, & associated product",2,3,D0700.03,21
Non-metallic mineral product,2,3,D0700.03,9
Metal product,2,3,D0700.03,12
Transport and industrial machinery & equipment,2,3,D0700.03,51
Other machinery & equipment,2,3,D0700.03,15
Other manufacturing,2,3,D0700.03,15
"Electricity, gas, water, & waste services",1,2,D0700.03,15
Construction,1,2,D0700.03,186
Wholesale trade,1,2,D0700.03,162
Machinery & equipment wholesaling,2,3,D0700.03,30
Other wholesale trade,2,3,D0700.03,132
Retail trade,1,2,D0700.03,117
Accommodation & food services,1,2,D0700.03,348
"Transport, postal, & warehousing",1,2,D0700.03,111
Information media & telecommunications,1,2,D0700.03,9
Publishing,2,3,D0700.03,3
Motion picture,2,3,D0700.03,0
Telecommunications,2,3,D0700.03,3
Financial & insurance services,1,2,D0700.03,39
Finance,2,3,D0700.03,12
Insurance,2,3,D0700.03,3
Auxiliary,2,3,D0700.03,24
"Rental, hiring, & real estate services",1,2,D0700.03,54
"Professional, scientific, & technical services",1,2,D0700.03,141
Computer systems design,2,3,D0700.03,57
Other professional scientific,2,3,D0700.03,90
Administrative & support services,1,2,D0700.03,30
Education & training,1,2,D0700.03,33
Health care & social assistance,1,2,D0700.03,210
Arts & recreation services,1,2,D0700.03,15
Other services,1,2,D0700.03,51
total,0,1,D0700.03,1869
total,0,1,D0700.04,447
total,0,1,D0700.04,153
total,0,1,D0700.04,30
total,0,1,D0700.04,18
"Agriculture, forestry, & fishing",1,2,D0700.04,108
Agriculture,2,3,D0700.04,75
Commercial fishing,2,3,D0700.04,0
Forestry & logging,2,3,D0700.04,0
"Agriculture, forestry, & fishing support services",2,3,D0700.04,33
Mining,1,2,D0700.04,3
Manufacturing,1,2,D0700.04,96
"Food, beverage, & tobacco",2,3,D0700.04,33
"Textile, clothing, footwear, & leather",2,3,D0700.04,9
Wood & paper product,2,3,D0700.04,21
"Printing, publishing, & recorded media",2,3,D0700.04,0
"Petroleum, coal, chemical, & associated product",2,3,D0700.04,6
Non-metallic mineral product,2,3,D0700.04,9
Metal product,2,3,D0700.04,6
Transport and industrial machinery & equipment,2,3,D0700.04,0
Other machinery & equipment,2,3,D0700.04,9
Other manufacturing,2,3,D0700.04,6
"Electricity, gas, water, & waste services",1,2,D0700.04,3
Construction,1,2,D0700.04,15
Wholesale trade,1,2,D0700.04,39
Machinery & equipment wholesaling,2,3,D0700.04,15
Other wholesale trade,2,3,D0700.04,24
Retail trade,1,2,D0700.04,15
Accommodation & food services,1,2,D0700.04,225
"Transport, postal, & warehousing",1,2,D0700.04,12
Information media & telecommunications,1,2,D0700.04,9
Publishing,2,3,D0700.04,3
Motion picture,2,3,D0700.04,0
Telecommunications,2,3,D0700.04,3
Financial & insurance services,1,2,D0700.04,6
Finance,2,3,D0700.04,3
Insurance,2,3,D0700.04,0
Auxiliary,2,3,D0700.04,6
"Rental, hiring, & real estate services",1,2,D0700.04,30
"Professional, scientific, & technical services",1,2,D0700.04,24
Computer systems design,2,3,D0700.04,12
Other professional scientific,2,3,D0700.04,15
Administrative & support services,1,2,D0700.04,6
